Shampoo Bottle grasping and Ungrasping
14:23:50:308 -> 66214,900,S0=163.27 mA, S1=51.63 mA, S2=140.88 mA, S3=63.60 mA, S4=38.60 mA
14:23:50:613 -> 66519,900,S0=97.77 mA, S1=98.18 mA, S2=81.27 mA, S3=48.35 mA, S4=73.50 mA
14:23:50:917 -> 66823,900,S0=93.18 mA, S1=131.00 mA, S2=116.30 mA, S3=48.55 mA, S4=68.07 mA
14:23:51:223 -> Enter next command:
14:23:51:223 -> 67131,900,S0=141.95 mA, S1=77.07 mA, S2=116.30 mA, S3=47.43 mA, S4=68.45 mA
14:23:51:768 -> FSR Live: PB0=0.01, PA7=0.00, PA6=26.91, PA5=0.03, PA4=70.60, PA3=10.48, PA2=0.04, PA1=0.12, PA0=0.09
14:23:52:013 -> FSR Live: PB0=0.00, PA7=0.01, PA6=26.95, PA5=0.05, PA4=48.05, PA3=10.44, PA2=0.04, PA1=0.06, PA0=0.11
14:23:52:257 -> FSR Live: PB0=0.00, PA7=0.01, PA6=27.11, PA5=0.03, PA4=30.34, PA3=10.21, PA2=0.09, PA1=0.11, PA0=0.08
14:23:52:263 -> 68173,900,S0=121.75 mA, S1=51.53 mA, S2=112.97 mA, S3=44.95 mA, S4=61.70 mA
14:23:52:808 -> FSR Live: PB0=0.00, PA7=0.01, PA6=27.66, PA5=0.03, PA4=13.79, PA3=9.61, PA2=0.06, PA1=0.10, PA0=0.06
14:23:53:055 -> FSR Live: PB0=0.00, PA7=0.01, PA6=27.97, PA5=0.01, PA4=13.45, PA3=9.51, PA2=0.06, PA1=0.09, PA0=0.08
14:23:53:298 -> FSR Live: PB0=0.00, PA7=0.01, PA6=28.40, PA5=0.03, PA4=13.09, PA3=10.24, PA2=0.06, PA1=0.10, PA0=0.11
14:23:53:303 -> 69214,900,S0=73.52 mA, S1=70.02 mA, S2=111.62 mA, S3=68.05 mA, S4=57.90 mA
