12:59:15:367 -> Moving servos (us): 2163
12:59:15:372 -> Moving servos (us): 2163
12:59:15:372 -> Moving servos (us): 2162
12:59:15:378 -> Moving servos (us): 2161
12:59:15:378 -> Moving servos (us): 2161
12:59:15:378 -> Moving servos (us): 2161
12:59:15:383 -> Moving servos (us): 2160
12:59:15:383 -> Moving servos (us): 2160
12:59:15:389 -> Moving servos (us): 2158
12:59:15:389 -> Moving servos (us): 2158
12:59:15:394 -> Moving servos (us): 2158
12:59:15:394 -> Moving servos (us): 2157
12:59:15:394 -> Moving servos (us): 2157
12:59:15:400 -> Moving servos (us): 2156
12:59:15:400 -> Moving servos (us): 2156
12:59:15:405 -> Moving servos (us): 2156
12:59:15:405 -> Moving servos (us): 2154
12:59:15:405 -> Moving servos (us): 2154
12:59:15:410 -> Moving servos (us): 2153
12:59:15:410 -> Moving servos (us): 2153
12:59:15:415 -> Moving servos (us): 2152
12:59:15:415 -> Moving servos (us): 2152
12:59:15:421 -> Moving servos (us): 2151
12:59:15:421 -> Moving servos (us): 2151
12:59:15:421 -> Moving servos (us): 2150
12:59:15:427 -> Moving servos (us): 2149
12:59:15:427 -> Moving servos (us): 2149
12:59:15:432 -> Moving servos (us): 2148
12:59:15:432 -> Moving servos (us): 2148
12:59:15:437 -> Moving servos (us): 2148
12:59:15:437 -> Moving servos (us): 2146
12:59:15:437 -> Moving servos (us): 2146
12:59:15:443 -> Moving servos (us): 2146
12:59:15:443 -> Moving servos (us): 2146
12:59:15:448 -> Moving servos (us): 2145
12:59:15:448 -> Moving servos (us): 2144
12:59:15:448 -> Moving servos (us): 2143
12:59:15:453 -> Moving servos (us): 2143
12:59:15:453 -> Moving servos (us): 2143
12:59:15:459 -> Moving servos (us): 2142
12:59:15:459 -> Moving servos (us): 2141
12:59:15:464 -> Moving servos (us): 2141
12:59:15:464 -> Moving servos (us): 2141
12:59:15:464 -> Moving servos (us): 2140
12:59:15:470 -> Moving servos (us): 2140
12:59:15:470 -> Moving servos (us): 2139
12:59:15:477 -> Moving servos (us): 2138
12:59:15:477 -> Moving servos (us): 2138
12:59:15:477 -> Moving servos (us): 2138
12:59:15:481 -> Moving servos (us): 2137
12:59:15:481 -> Moving servos (us): 2136
12:59:15:486 -> Moving servos (us): 2136
12:59:15:486 -> Moving servos (us): 2135
12:59:15:491 -> Moving servos (us): 2135
12:59:15:491 -> Moving servos (us): 2134
12:59:15:491 -> Moving servos (us): 2133
