FSR Live: PB0=269.99, PA7=0.71, PA6=126.36, PA5=216.05, PA4=255.77, PA3=274.66, PA2=284.77, PA1=287.73, PA0=336.64
FSR Live: PB0=270.20, PA7=0.69, PA6=126.65, PA5=216.15, PA4=255.89, PA3=274.65, PA2=284.66, PA1=286.64, PA0=336.60
FSR Live: PB0=270.38, PA7=0.69, PA6=126.79, PA5=216.80, PA4=256.14, PA3=274.65, PA2=284.51, PA1=287.34, PA0=337.01
FSR Live: PB0=269.86, PA7=0.57, PA6=126.57, PA5=216.43, PA4=255.79, PA3=274.09, PA2=284.25, PA1=286.67, PA0=336.69
FSR Live: PB0=269.34, PA7=0.73, PA6=126.68, PA5=216.83, PA4=256.26, PA3=274.61, PA2=284.77, PA1=287.00, PA0=335.96
FSR Live: PB0=270.15, PA7=0.61, PA6=126.61, PA5=216.80, PA4=256.08, PA3=274.55, PA2=284.64, PA1=287.45, PA0=336.74
FSR Live: PB0=269.60, PA7=0.54, PA6=126.69, PA5=217.04, PA4=255.88, PA3=273.77, PA2=284.15, PA1=287.19, PA0=336.29
FSR Live: PB0=269.76, PA7=0.66, PA6=126.66, PA5=216.88, PA4=256.56, PA3=274.90, PA2=284.74, PA1=286.71, PA0=336.40
FSR Live: PB0=269.88, PA7=0.40, PA6=126.76, PA5=216.73, PA4=256.26, PA3=274.85, PA2=284.67, PA1=286.64, PA0=336.23
FSR Live: PB0=270.52, PA7=0.64, PA6=126.55, PA5=216.16, PA4=255.63, PA3=274.24, PA2=284.39, PA1=287.49, PA0=336.91
FSR Live: PB0=269.95, PA7=0.55, PA6=126.66, PA5=217.00, PA4=256.41, PA3=274.76, PA2=284.84, PA1=287.54, PA0=336.48
FSR Live: PB0=270.71, PA7=0.56, PA6=126.61, PA5=216.39, PA4=255.83, PA3=274.59, PA2=284.59, PA1=287.38, PA0=337.16
FSR Live: PB0=269.56, PA7=0.50, PA6=126.86, PA5=216.58, PA4=256.08, PA3=274.35, PA2=284.66, PA1=287.56, PA0=336.16
FSR Live: PB0=269.63, PA7=0.77, PA6=126.70, PA5=216.83, PA4=256.25, PA3=274.46, PA2=285.06, PA1=287.63, PA0=335.95
FSR Live: PB0=270.70, PA7=0.45, PA6=126.62, PA5=216.45, PA4=256.06, PA3=274.94, PA2=285.08, PA1=287.60, PA0=337.44
FSR Live: PB0=270.05, PA7=0.49, PA6=126.49, PA5=216.15, PA4=255.96, PA3=274.75, PA2=284.91, PA1=287.52, PA0=336.45
FSR Live: PB0=270.34, PA7=0.60, PA6=126.68, PA5=216.30, PA4=255.90, PA3=274.64, PA2=284.85, PA1=287.08, PA0=336.99
FSR Live: PB0=269.92, PA7=0.49, PA6=126.85, PA5=216.99, PA4=256.59, PA3=274.89, PA2=284.86, PA1=286.94, PA0=336.20
FSR Live: PB0=270.01, PA7=0.86, PA6=126.51, PA5=216.54, PA4=256.31, PA3=274.89, PA2=284.99, PA1=286.92, PA0=336.50
FSR Live: PB0=270.04, PA7=0.91, PA6=126.35, PA5=216.80, PA4=256.48, PA3=274.67, PA2=284.61, PA1=286.92, PA0=336.55
FSR Live: PB0=269.67, PA7=0.76, PA6=126.49, PA5=216.43, PA4=255.98, PA3=274.25, PA2=284.58, PA1=287.02, PA0=336.25
FSR Live: PB0=269.96, PA7=0.75, PA6=126.40, PA5=216.59, PA4=256.38, PA3=274.95, PA2=285.17, PA1=287.20, PA0=336.25
FSR Live: PB0=269.56, PA7=0.79, PA6=126.60, PA5=216.01, PA4=255.73, PA3=274.56, PA2=284.79, PA1=287.30, PA0=336.04
FSR Live: PB0=269.55, PA7=0.85, PA6=126.56, P=216.29A5, PA4=255.91, PA3=274.46, PA2=285.01, PA1=287.67, PA0=336.13
FSR Live: PB0=269.81, PA7=0.89, PA6=126.72, PA5=216.16, PA4=255.70, PA3=274.08, PA2=284.14, PA1=287.31, PA0=336.49
FSR Live: PB0=270.08, PA7=0.56, PA6=126.61, PA5=216.89, PA4=256.46, PA3=274.99, PA2=284.55, PA1=286.08, PA0=336.73
FSR Live: PB0=269.73, PA7=0.55, PA6=126.50, PA5=215.99, PA4=255.96, PA3=275.04, PA2=284.92, PA1=286.46, PA0=336.21
FSR Live: PB0=269.27, PA7=0.98, PA6=126.94, PA5=216.21, PA4=255.77, PA3=274.31, PA2=284.51, PA1=287.09, PA0=335.75
FSR Live: PB0=269.31, PA7=0.80, PA6=126.60, PA5=216.38, PA4=255.71, PA3=273.69, PA2=284.48, PA1=287.65, PA0=335.88
FSR Live: PB0=269.63, PA7=1.21, PA6=126.61, PA5=215.45, PA4=255.29, PA3=274.83, PA2=284.89, PA1=287.15, PA0=336.21
FSR Live: PB0=269.65, PA7=1.33, PA6=126.50, PA5=216.13, PA4=255.56, PA3=274.30, PA2=284.33, PA1=286.73, PA0=336.21
